id;sciservicio_id;titulo_habilitante_id;created_at;updated_at;nota;servicio
36;NULL;30;2015-11-10 15:43:54.860;2015-11-10 15:43:54.860;NULL;
40;NULL;34;2015-11-10 16:50:08.417;2015-11-10 16:50:08.417;NULL;
42;NULL;36;2015-11-10 17:27:58.997;2015-11-10 17:27:58.997;NULL;TRANSMISION DE AUDIO Y VIDEO EN FORMA ANALOGICA Y DIGITAL
43;NULL;37;2015-11-10 17:32:57.200;2015-11-10 17:32:57.200;NULL;XXXXXXXXXX
44;7;38;2015-11-10 17:48:07.017;2015-11-10 17:48:07.017;NULL;
45;29;38;2015-11-10 17:48:07.017;2015-11-10 17:48:07.017;NULL;
46;35;38;2015-11-10 17:48:07.017;2015-11-10 17:48:07.017;NULL;Enlances de Conexion de Sistema de Telefonia Movil
47;7;39;2015-11-10 17:48:39.467;2015-11-10 17:48:39.467;NULL;
48;7;40;2015-11-10 17:49:42.437;2015-11-10 17:49:42.437;NULL;
58;7;44;2015-11-10 20:30:23.253;2015-11-10 20:30:23.253;NULL;
69;NULL;49;2015-11-10 20:41:30.457;2015-11-10 20:41:30.457;NULL; Transmisión de audio,  video y datos en formó analógica o digital, servicios de enlaces punto a punto,  soporte de redes públicas en transporte de datos,  video y voz,  incluyendo el protocolo IP y otros, así como enlaces de conexión de sistemas de telefonía móvil.
143;NULL;99;2015-11-11 21:43:06.523;2015-11-11 21:43:06.523;NULL;Acceso a internet
189;NULL;123;2015-11-12 17:48:33.967;2015-11-12 17:48:33.967;NULL;
190;NULL;124;2015-11-12 17:49:17.593;2015-11-12 17:49:17.593;NULL;
192;NULL;126;2015-11-12 17:49:58.247;2015-11-12 17:49:58.247;NULL;
223;NULL;141;2015-11-12 20:48:15.627;2015-11-12 20:48:15.627;NULL;
224;NULL;142;2015-11-12 20:49:11.097;2015-11-12 20:49:11.097;NULL;
225;18;143;2015-11-12 21:36:27.607;2015-11-12 21:36:27.607;NULL;Acceso a internet
228;18;145;2015-11-12 21:59:28.213;2015-11-12 21:59:28.213;NULL;Acceso a Internet
229;7;145;2015-11-12 21:59:28.213;2015-11-12 21:59:28.213;NULL;
231;NULL;147;2015-11-12 22:07:42.893;2015-11-12 22:07:42.893;NULL;Acceso a Internet
232;NULL;148;2015-11-12 22:15:00.737;2015-11-12 22:15:00.737;NULL;Acesso Internet
236;NULL;151;2015-11-13 14:32:17.800;2015-11-13 14:32:17.800;NULL;Acceso a internet
239;NULL;153;2015-11-13 14:36:28.067;2015-11-13 14:36:28.067;NULL;Acceso a Internet
241;NULL;155;2015-11-13 14:42:34.310;2015-11-13 14:42:34.310;NULL;Acceso a Internet
242;7;155;2015-11-13 14:42:34.310;2015-11-13 14:42:34.310;NULL;
243;NULL;156;2015-11-13 14:48:00.687;2015-11-13 14:48:00.687;NULL;Acceso a Internet
244;NULL;156;2015-11-13 14:48:00.687;2015-11-13 14:48:00.687;NULL;
246;7;158;2015-11-13 14:53:23.127;2015-11-13 14:53:23.127;NULL;
247;NULL;158;2015-11-13 14:53:23.140;2015-11-13 14:53:23.140;NULL;Acceso a internet
248;7;159;2015-11-13 14:55:07.280;2015-11-13 14:55:07.280;NULL;
249;NULL;159;2015-11-13 14:55:07.280;2015-11-13 14:55:07.280;NULL;Acceso a internet
250;NULL;160;2015-11-13 14:56:08.877;2015-11-13 14:56:08.877;NULL;Acceso a internet
253;NULL;162;2015-11-13 15:27:11.907;2015-11-13 15:27:11.907;NULL;Acceso a internet
254;7;162;2015-11-13 15:27:11.907;2015-11-13 15:27:11.907;NULL;
255;NULL;163;2015-11-13 15:28:56.797;2015-11-13 15:28:56.797;NULL;Acceso a Internet
260;NULL;167;2015-11-13 15:37:25.127;2015-11-13 15:37:25.127;NULL;Acceso a internet
261;7;167;2015-11-13 15:37:25.127;2015-11-13 15:37:25.127;NULL;
273;NULL;174;2015-11-13 16:37:51.913;2015-11-13 16:37:51.913;NULL;Acceso a internet
274;7;174;2015-11-13 16:37:51.913;2015-11-13 16:37:51.913;NULL;
278;NULL;176;2015-11-13 16:49:26.117;2015-11-13 16:49:26.117;NULL;
279;NULL;176;2015-11-13 16:49:26.117;2015-11-13 16:49:26.117;NULL;
282;NULL;178;2015-11-13 16:54:51.557;2015-11-13 16:54:51.557;NULL;Acceso a Internet
283;33;178;2015-11-13 16:54:51.557;2015-11-13 16:54:51.557;NULL;
284;NULL;179;2015-11-13 16:55:11.540;2015-11-13 16:55:11.540;NULL;Acceso a internet
285;7;179;2015-11-13 16:55:11.557;2015-11-13 16:55:11.557;NULL;
290;7;182;2015-11-13 17:11:02.277;2015-11-13 17:11:02.277;NULL;
293;NULL;184;2015-11-13 17:20:51.037;2015-11-13 17:20:51.037;NULL;Telefonía pública internacional
296;NULL;186;2015-11-13 17:27:59.553;2015-11-13 17:27:59.553;NULL;Telefonía pública internacional
297;18;186;2015-11-13 17:27:59.553;2015-11-13 17:27:59.553;NULL;
298;NULL;186;2015-11-13 17:27:59.553;2015-11-13 17:27:59.553;NULL;Acceso a internet
299;3;187;2015-11-13 18:49:01.087;2015-11-13 18:49:01.087;NULL;
300;NULL;187;2015-11-13 18:49:01.087;2015-11-13 18:49:01.087;NULL;Acceso a Internet
301;NULL;187;2015-11-13 18:49:01.103;2015-11-13 18:49:01.103;NULL;Voz sobre Internet
302;18;187;2015-11-13 18:49:01.103;2015-11-13 18:49:01.103;NULL;
303;NULL;187;2015-11-13 18:49:01.103;2015-11-13 18:49:01.103;NULL;Mensajería instantánea
304;NULL;187;2015-11-13 18:49:01.103;2015-11-13 18:49:01.103;NULL;Arrendamiento de canales Punto a Punto
305;NULL;187;2015-11-13 18:49:01.103;2015-11-13 18:49:01.103;NULL;Video-conferencia
306;NULL;188;2015-11-13 18:59:08.150;2015-11-13 18:59:08.150;NULL;Acceso a Internet
307;7;188;2015-11-13 18:59:08.150;2015-11-13 18:59:08.150;NULL;
308;NULL;189;2015-11-13 19:04:47.230;2015-11-13 19:04:47.230;NULL;Acceso a Internet
309;7;189;2015-11-13 19:04:47.230;2015-11-13 19:04:47.230;NULL;
310;NULL;190;2015-11-13 19:17:16.997;2015-11-13 19:17:16.997;NULL;Acceso a Internet
311;7;190;2015-11-13 19:17:16.997;2015-11-13 19:17:16.997;NULL;
314;NULL;192;2015-11-13 19:25:31.373;2015-11-13 19:25:31.373;NULL;Acceso a Internet
315;7;192;2015-11-13 19:25:31.373;2015-11-13 19:25:31.373;NULL;
316;NULL;193;2015-11-13 19:29:24.123;2015-11-13 19:29:24.123;NULL;Acceso a Internet
317;7;193;2015-11-13 19:29:24.123;2015-11-13 19:29:24.123;NULL;
318;7;194;2015-11-13 19:37:56.140;2015-11-13 19:37:56.140;NULL;
319;7;195;2015-11-13 19:42:02.280;2015-11-13 19:42:02.280;NULL;
321;3;197;2015-11-13 19:58:14.877;2015-11-13 19:58:14.877;NULL;
322;NULL;197;2015-11-13 19:58:14.877;2015-11-13 19:58:14.877;NULL;Acceso a Internet
323;NULL;197;2015-11-13 19:58:14.877;2015-11-13 19:58:14.877;NULL;Canales punto a punto y multipunto
324;3;198;2015-11-13 20:00:18.330;2015-11-13 20:00:18.330;NULL;
325;NULL;198;2015-11-13 20:00:18.330;2015-11-13 20:00:18.330;NULL;Acceso a Internet
326;NULL;198;2015-11-13 20:00:18.330;2015-11-13 20:00:18.330;NULL;Canales punto a punto y multipunto
327;NULL;198;2015-11-13 20:00:18.347;2015-11-13 20:00:18.347;NULL;Redes corporativas
328;NULL;198;2015-11-13 20:00:18.347;2015-11-13 20:00:18.347;NULL;Voz sobre IP
334;NULL;200;2015-11-13 20:05:27.673;2015-11-13 20:05:27.673;NULL;Acceso a internet
335;NULL;200;2015-11-13 20:05:27.673;2015-11-13 20:05:27.673;NULL;Redes virtuales privadas
336;NULL;200;2015-11-13 20:05:27.690;2015-11-13 20:05:27.690;NULL;Canales punto a punto
337;18;200;2015-11-13 20:05:27.690;2015-11-13 20:05:27.690;NULL;
338;18;200;2015-11-13 20:05:27.690;2015-11-13 20:05:27.690;NULL;
346;NULL;203;2015-11-13 20:47:03.517;2015-11-13 20:47:03.517;NULL;Acceso a Internet
347;NULL;204;2015-11-13 21:02:13.033;2015-11-13 21:02:13.033;NULL;Acceso a Internet
352;NULL;207;2015-11-13 21:23:42.857;2015-11-13 21:23:42.857;NULL;Canales punto a punto y punto multipunto
353;NULL;207;2015-11-13 21:23:42.857;2015-11-13 21:23:42.857;NULL;Redes Virtuales
354;NULL;207;2015-11-13 21:23:42.857;2015-11-13 21:23:42.857;NULL;Videoconferencias
357;4;209;2015-11-16 14:33:06.740;2015-11-16 14:33:06.740;NULL;
358;18;209;2015-11-16 14:33:06.740;2015-11-16 14:33:06.740;NULL;
359;NULL;210;2015-11-16 14:35:57.117;2015-11-16 14:35:57.117;NULL;Televisión por cable
360;NULL;211;2015-11-16 14:49:08.927;2015-11-16 14:49:08.927;NULL;
361;30;211;2015-11-16 14:49:08.940;2015-11-16 14:49:08.940;NULL;
362;4;212;2015-11-16 15:07:31.603;2015-11-16 15:07:31.603;NULL;
366;NULL;214;2015-11-16 15:37:36.640;2015-11-16 15:37:36.640;NULL;Acceso a internet
367;33;214;2015-11-16 15:37:36.640;2015-11-16 15:37:36.640;NULL;
368;30;214;2015-11-16 15:37:36.640;2015-11-16 15:37:36.640;NULL;
372;18;216;2015-11-16 15:56:47.610;2015-11-16 15:56:47.610;NULL;Acceso a Internet
373;18;217;2015-11-16 15:57:39.610;2015-11-16 15:57:39.610;NULL;Acceso a Internet
374;7;217;2015-11-16 15:57:39.610;2015-11-16 15:57:39.610;NULL;
375;18;218;2015-11-16 15:58:24.080;2015-11-16 15:58:24.080;NULL;Acceso a Internet
376;18;219;2015-11-16 15:59:09.003;2015-11-16 15:59:09.003;NULL;Acceso a Internet
377;18;219;2015-11-16 15:59:09.003;2015-11-16 15:59:09.003;NULL;
378;18;220;2015-11-16 15:59:52.487;2015-11-16 15:59:52.487;NULL;Acceso a Internet
379;18;221;2015-11-16 16:01:34.283;2015-11-16 16:01:34.283;NULL;Acceso a Internet
380;7;221;2015-11-16 16:01:34.300;2015-11-16 16:01:34.300;NULL;
381;18;222;2015-11-16 16:02:23.797;2015-11-16 16:02:23.797;NULL;Acceso a Internet
382;7;222;2015-11-16 16:02:23.797;2015-11-16 16:02:23.797;NULL;
383;18;223;2015-11-16 16:04:33.060;2015-11-16 16:04:33.060;NULL;Acceso a Internet
384;7;223;2015-11-16 16:04:33.077;2015-11-16 16:04:33.077;NULL;
385;NULL;223;2015-11-16 16:04:33.077;2015-11-16 16:04:33.077;NULL;
386;18;224;2015-11-16 16:05:15.390;2015-11-16 16:05:15.390;NULL;Acceso a Internet
387;7;224;2015-11-16 16:05:15.390;2015-11-16 16:05:15.390;NULL;
388;4;225;2015-11-16 16:06:38.763;2015-11-16 16:06:38.763;NULL;
389;NULL;225;2015-11-16 16:06:38.763;2015-11-16 16:06:38.763;NULL;Acceso a Internet
390;18;226;2015-11-16 16:07:18.687;2015-11-16 16:07:18.687;NULL;Acceso a Internet
391;7;226;2015-11-16 16:07:18.687;2015-11-16 16:07:18.687;NULL;
394;18;228;2015-11-16 16:16:07.983;2015-11-16 16:16:07.983;NULL;Acceso a Internet
395;7;228;2015-11-16 16:16:07.983;2015-11-16 16:16:07.983;NULL;
396;18;229;2015-11-16 16:19:39.203;2015-11-16 16:19:39.203;NULL;Telefonía Pública Internacional
397;18;230;2015-11-16 16:22:42.127;2015-11-16 16:22:42.127;NULL;Acceso a Internet
398;18;230;2015-11-16 16:22:42.127;2015-11-16 16:22:42.127;NULL;Voz sobre IP
399;18;230;2015-11-16 16:22:42.127;2015-11-16 16:22:42.127;NULL;Canales punto a punto
400;18;230;2015-11-16 16:22:42.143;2015-11-16 16:22:42.143;NULL;Vídeo Conferencia
401;3;230;2015-11-16 16:22:42.143;2015-11-16 16:22:42.143;NULL;
402;4;231;2015-11-16 16:35:25.753;2015-11-16 16:35:25.753;NULL;
403;18;231;2015-11-16 16:35:25.753;2015-11-16 16:35:25.753;NULL;Acceso a Internet
404;7;231;2015-11-16 16:35:25.753;2015-11-16 16:35:25.753;NULL;
405;4;232;2015-11-16 16:44:13.520;2015-11-16 16:44:13.520;NULL;
411;18;236;2015-11-16 17:07:30.803;2015-11-16 17:07:30.803;NULL;Televisión por cable
416;NULL;238;2015-11-16 17:22:48.243;2015-11-16 17:22:48.243;NULL;Television por cable
417;NULL;238;2015-11-16 17:22:48.260;2015-11-16 17:22:48.260;NULL;Acceso a internet
418;18;238;2015-11-16 17:22:48.260;2015-11-16 17:22:48.260;NULL;
419;18;238;2015-11-16 17:22:48.260;2015-11-16 17:22:48.260;NULL;
423;NULL;240;2015-11-16 17:39:39.480;2015-11-16 17:39:39.480;NULL;Acceso a internet
424;NULL;240;2015-11-16 17:39:39.480;2015-11-16 17:39:39.480;NULL;Voz sobre IP
425;NULL;240;2015-11-16 17:39:39.480;2015-11-16 17:39:39.480;NULL;TV cable analógico y digital
426;3;241;2015-11-16 17:41:06.480;2015-11-16 17:41:06.480;NULL;Transferencia de datos a nivel local e internacional
427;NULL;241;2015-11-16 17:41:06.497;2015-11-16 17:41:06.497;NULL;Acceso a Internet
428;18;242;2015-11-16 17:42:12.603;2015-11-16 17:42:12.603;NULL;Televisión por cable
429;35;242;2015-11-16 17:42:12.603;2015-11-16 17:42:12.603;NULL;Acceso a Internet
430;33;242;2015-11-16 17:42:12.603;2015-11-16 17:42:12.603;NULL;
431;3;243;2015-11-16 18:34:58.283;2015-11-16 18:34:58.283;NULL;
432;3;244;2015-11-16 19:05:43.113;2015-11-16 19:05:43.113;NULL;Transferencia datos, particularmente en la modalidad de canales punto a punto, mediante frecuencias de uso libre
433;NULL;245;2015-11-16 19:35:53.167;2015-11-16 19:35:53.167;NULL;Acarreador de Telefonía IP prepago
434;7;246;2015-11-16 19:41:13.403;2015-11-16 19:41:13.403;NULL;
435;NULL;247;2015-11-16 19:45:05.967;2015-11-16 19:45:05.967;NULL;Televisión por cable
436;NULL;247;2015-11-16 19:45:05.967;2015-11-16 19:45:05.967;NULL;Acceso a internet
437;18;248;2015-11-16 20:03:23.873;2015-11-16 20:03:23.873;NULL;Telefonía IP Prepago
439;NULL;250;2015-11-16 20:22:53.877;2015-11-16 20:22:53.877;NULL; Enlaces Inalámbricos Punto a Punto
440;4;250;2015-11-16 20:22:53.877;2015-11-16 20:22:53.877;NULL;en la modalidad de Televisión por Cable (CATV) 
441;18;251;2015-11-16 21:25:15.913;2015-11-16 21:25:15.913;NULL;Acarreador de telefonía IP Prepago
442;29;251;2015-11-16 21:25:15.913;2015-11-16 21:25:15.913;NULL;
444;18;253;2015-11-16 21:36:33.703;2015-11-16 21:36:33.703;NULL;Acceso a Internet
445;33;253;2015-11-16 21:36:33.703;2015-11-16 21:36:33.703;NULL;
449;NULL;255;2015-11-16 21:55:04.200;2015-11-16 21:55:04.200;NULL;Telefonia IP prepago
450;NULL;255;2015-11-16 21:55:04.200;2015-11-16 21:55:04.200;NULL;
451;NULL;255;2015-11-16 21:55:04.200;2015-11-16 21:55:04.200;NULL;
452;NULL;256;2015-11-16 21:59:31.793;2015-11-16 21:59:31.793;NULL;Acceso a internet
453;NULL;256;2015-11-16 21:59:31.793;2015-11-16 21:59:31.793;NULL;Servicio de trasnferencia de datos
454;NULL;256;2015-11-16 21:59:31.793;2015-11-16 21:59:31.793;NULL;Enlaces de datos punto a punto
455;NULL;257;2015-11-17 14:48:02.757;2015-11-17 14:48:02.757;NULL;Acceso a internet
456;29;257;2015-11-17 14:48:02.787;2015-11-17 14:48:02.787;NULL;
457;NULL;257;2015-11-17 14:48:02.787;2015-11-17 14:48:02.787;NULL;Enlaces punto a punto
458;NULL;257;2015-11-17 14:48:02.787;2015-11-17 14:48:02.787;NULL;Enlaces multipunto
460;3;259;2015-11-17 15:34:14.103;2015-11-17 15:34:14.103;NULL;Transferencia de datos a nivel local e internacional
461;NULL;259;2015-11-17 15:34:14.103;2015-11-17 15:34:14.103;NULL;Acceso a Internet
462;33;259;2015-11-17 15:34:14.103;2015-11-17 15:34:14.103;NULL;
465;18;261;2015-11-17 15:57:00.063;2015-11-17 15:57:00.063;NULL;Carrier de Telefonía IP
466;18;261;2015-11-17 15:57:00.063;2015-11-17 15:57:00.063;NULL;Operador Prepago Móvil
467;NULL;262;2015-11-17 15:59:47.143;2015-11-17 15:59:47.143;NULL;Television por cable
468;NULL;262;2015-11-17 15:59:47.143;2015-11-17 15:59:47.143;NULL;Acceso a internet
469;33;262;2015-11-17 15:59:47.157;2015-11-17 15:59:47.157;NULL;
470;29;262;2015-11-17 15:59:47.157;2015-11-17 15:59:47.157;NULL;
471;NULL;263;2015-11-17 16:12:44.617;2015-11-17 16:12:44.617;NULL;Television por cable
472;NULL;263;2015-11-17 16:12:44.633;2015-11-17 16:12:44.633;NULL;Acceso a internet
473;3;263;2015-11-17 16:12:44.633;2015-11-17 16:12:44.633;NULL;
474;18;263;2015-11-17 16:12:44.633;2015-11-17 16:12:44.633;NULL;
475;NULL;264;2015-11-17 16:31:27.773;2015-11-17 16:31:27.773;NULL;
476;NULL;265;2015-11-17 16:37:10.323;2015-11-17 16:37:10.323;NULL;
477;NULL;266;2015-11-17 16:46:34.957;2015-11-17 16:46:34.957;NULL;
478;18;267;2015-11-17 16:57:35.567;2015-11-17 16:57:35.567;NULL;Acarreador de telefonía IP Prepago
479;33;267;2015-11-17 16:57:35.567;2015-11-17 16:57:35.567;NULL;
480;3;268;2015-11-17 16:57:57.007;2015-11-17 16:57:57.007;NULL;Trasferencia de datos en la modalidad de acceso a internet por medio de fibra optica, mediante tecnologia FTTH.
